Mixture_Label;Mixture_Id;Species_1;Strain_1;Species_2;Strain_2;Replicate;Ratio;Proportion
A;1;NYV.XSY;214;NYV.VCE;77;1;1:0;1
A;1;NYV.XSY;214;NYV.VCE;77;2;1:0;1
A;1;NYV.XSY;214;NYV.VCE;77;1;2:1;0.666666666666667
A;1;NYV.XSY;214;NYV.VCE;77;2;2:1;0.666666666666667
A;1;NYV.XSY;214;NYV.VCE;77;1;5:1;0.838383838383838
A;1;NYV.XSY;214;NYV.VCE;77;2;5:1;0.838383838383838
A;1;NYV.XSY;214;NYV.VCE;77;1;10:1;0.91
A;1;NYV.XSY;214;NYV.VCE;77;2;10:1;0.91
A;1;NYV.XSY;214;NYV.VCE;77;1;1:1;0.5
A;1;NYV.XSY;214;NYV.VCE;77;2;1:1;0.5
A;1;NYV.XSY;214;NYV.VCE;77;1;1:10;0.09
A;1;NYV.XSY;214;NYV.VCE;77;2;1:10;0.09
A;1;NYV.XSY;214;NYV.VCE;77;1;1:5;0.161616161616162
A;1;NYV.XSY;214;NYV.VCE;77;2;1:5;0.161616161616162
A;1;NYV.XSY;214;NYV.VCE;77;1;1:2;0.333333333333333
A;1;NYV.XSY;214;NYV.VCE;77;2;1:2;0.333333333333333
A;1;NYV.XSY;214;NYV.VCE;77;1;0:1;0
A;1;NYV.XSY;214;NYV.VCE;77;2;0:1;0
A;2;NYV.XSY;194;NYV.VCE;202;1;1:0;1
A;2;NYV.XSY;194;NYV.VCE;202;2;1:0;1
A;2;NYV.XSY;194;NYV.VCE;202;1;2:1;0.666666666666667
A;2;NYV.XSY;194;NYV.VCE;202;2;2:1;0.666666666666667
A;2;NYV.XSY;194;NYV.VCE;202;1;5:1;0.838383838383838
A;2;NYV.XSY;194;NYV.VCE;202;2;5:1;0.838383838383838
A;2;NYV.XSY;194;NYV.VCE;202;1;10:1;0.91
A;2;NYV.XSY;194;NYV.VCE;202;2;10:1;0.91
A;2;NYV.XSY;194;NYV.VCE;202;1;1:1;0.5
A;2;NYV.XSY;194;NYV.VCE;202;2;1:1;0.5
A;2;NYV.XSY;194;NYV.VCE;202;1;1:10;0.09
A;2;NYV.XSY;194;NYV.VCE;202;2;1:10;0.09
A;2;NYV.XSY;194;NYV.VCE;202;1;1:5;0.161616161616162
A;2;NYV.XSY;194;NYV.VCE;202;2;1:5;0.161616161616162
A;2;NYV.XSY;194;NYV.VCE;202;1;1:2;0.333333333333333
A;2;NYV.XSY;194;NYV.VCE;202;2;1:2;0.333333333333333
A;2;NYV.XSY;194;NYV.VCE;202;1;0:1;0
A;2;NYV.XSY;194;NYV.VCE;202;2;0:1;0
B;1;AUG.AEX;43;AUG.HSS;48;1;1:0;1
B;1;AUG.AEX;43;AUG.HSS;48;2;1:0;1
B;1;AUG.AEX;43;AUG.HSS;48;1;2:1;0.666666666666667
B;1;AUG.AEX;43;AUG.HSS;48;2;2:1;0.666666666666667
B;1;AUG.AEX;43;AUG.HSS;48;1;5:1;0.838383838383838
B;1;AUG.AEX;43;AUG.HSS;48;2;5:1;0.838383838383838
B;1;AUG.AEX;43;AUG.HSS;48;1;10:1;0.91
B;1;AUG.AEX;43;AUG.HSS;48;2;10:1;0.91
B;1;AUG.AEX;43;AUG.HSS;48;1;1:1;0.5
B;1;AUG.AEX;43;AUG.HSS;48;2;1:1;0.5
B;1;AUG.AEX;43;AUG.HSS;48;1;1:10;0.09
B;1;AUG.AEX;43;AUG.HSS;48;2;1:10;0.09
B;1;AUG.AEX;43;AUG.HSS;48;1;1:5;0.161616161616162
B;1;AUG.AEX;43;AUG.HSS;48;2;1:5;0.161616161616162
B;1;AUG.AEX;43;AUG.HSS;48;1;1:2;0.333333333333333
B;1;AUG.AEX;43;AUG.HSS;48;2;1:2;0.333333333333333
B;1;AUG.AEX;43;AUG.HSS;48;1;0:1;0
B;1;AUG.AEX;43;AUG.HSS;48;2;0:1;0
B;2;AUG.AEX;181;AUG.HSS;73;1;1:0;1
B;2;AUG.AEX;181;AUG.HSS;73;2;1:0;1
B;2;AUG.AEX;181;AUG.HSS;73;1;2:1;0.666666666666667
B;2;AUG.AEX;181;AUG.HSS;73;2;2:1;0.666666666666667
B;2;AUG.AEX;181;AUG.HSS;73;1;5:1;0.838383838383838
B;2;AUG.AEX;181;AUG.HSS;73;2;5:1;0.838383838383838
B;2;AUG.AEX;181;AUG.HSS;73;1;10:1;0.91
B;2;AUG.AEX;181;AUG.HSS;73;2;10:1;0.91
B;2;AUG.AEX;181;AUG.HSS;73;1;1:1;0.5
B;2;AUG.AEX;181;AUG.HSS;73;2;1:1;0.5
B;2;AUG.AEX;181;AUG.HSS;73;1;1:10;0.09
B;2;AUG.AEX;181;AUG.HSS;73;2;1:10;0.09
B;2;AUG.AEX;181;AUG.HSS;73;1;1:5;0.161616161616162
B;2;AUG.AEX;181;AUG.HSS;73;2;1:5;0.161616161616162
B;2;AUG.AEX;181;AUG.HSS;73;1;1:2;0.333333333333333
B;2;AUG.AEX;181;AUG.HSS;73;2;1:2;0.333333333333333
B;2;AUG.AEX;181;AUG.HSS;73;1;0:1;0
B;2;AUG.AEX;181;AUG.HSS;73;2;0:1;0
C;1;JNH.ZIJ;66;JNH.FLH;17;1;1:0;1
C;1;JNH.ZIJ;66;JNH.FLH;17;2;1:0;1
C;1;JNH.ZIJ;66;JNH.FLH;17;1;2:1;0.666666666666667
C;1;JNH.ZIJ;66;JNH.FLH;17;2;2:1;0.666666666666667
C;1;JNH.ZIJ;66;JNH.FLH;17;1;5:1;0.838383838383838
