Species;Strain
Streptococcus oralis;1
Escherichia coli;2
Escherichia coli;2
Escherichia coli;2
Escherichia coli;2
Listeria ivanovii;3
Listeria ivanovii;3
Listeria ivanovii;3
Listeria ivanovii;3
Listeria ivanovii;4
Listeria ivanovii;4
Listeria ivanovii;5
Listeria ivanovii;5
Listeria ivanovii;5
Listeria ivanovii;6
Listeria ivanovii;6
Listeria ivanovii;7
Listeria ivanovii;7
Listeria ivanovii;7
Listeria ivanovii;7
Listeria ivanovii;7
Listeria ivanovii;7
Escherichia coli;8
Escherichia coli;8
Citrobacter freundii;9
Citrobacter freundii;9
Shigella flexneri;10
Shigella flexneri;10
Shigella boydii;11
Shigella boydii;12
Shigella boydii;12
Shigella boydii;12
Bacillus cereus;13
Escherichia coli;14
Escherichia coli;14
Escherichia coli;14
Escherichia coli;14
Shigella flexneri;15
Shigella flexneri;15
Shigella flexneri;15
Shigella flexneri;15
Yersinia enterocolitica;16
Yersinia enterocolitica;16
Citrobacter freundii;17
Citrobacter freundii;17
Citrobacter freundii;17
Escherichia coli;18
Escherichia coli;18
Escherichia coli;18
Escherichia coli;18
Bacillus thuringiensis;19
Enterobacter asburiae;20
Enterobacter asburiae;20
Escherichia coli;21
Escherichia coli;21
Escherichia coli;21
Escherichia coli;21
Streptococcus oralis;22
Streptococcus oralis;22
Streptococcus oralis;22
Listeria monocytogenes;23
Listeria monocytogenes;23
Listeria monocytogenes;23
Listeria ivanovii;24
Listeria ivanovii;24
Listeria ivanovii;24
Listeria ivanovii;24
Escherichia coli;25
Escherichia coli;25
Citrobacter braakii;26
Citrobacter braakii;26
Citrobacter braakii;26
Citrobacter braakii;26
Streptococcus mitis;27
Streptococcus mitis;27
Streptococcus mitis;27
Streptococcus mitis;27
Citrobacter braakii;28
Haemophilus parainfluenzae;29
Haemophilus parainfluenzae;29
Haemophilus parainfluenzae;29
Citrobacter braakii;30
Citrobacter braakii;30
Bacillus cereus;31
Bacillus cereus;31
Bacillus cereus;31
Bacillus cereus;31
Bacillus thuringiensis;32
Bacillus thuringiensis;33
Bacillus thuringiensis;33
Bacillus thuringiensis;34
Bacillus thuringiensis;34
Bacillus thuringiensis;34
Escherichia coli;35
Escherichia coli;35
Escherichia coli;35
Clostridium difficile;36
Clostridium difficile;36
Enterobacter asburiae;37
Shigella boydii;38
Shigella boydii;38
Shigella flexneri;39
Shigella flexneri;39
Yersinia frederiksenii;40
Yersinia frederiksenii;40
Citrobacter braakii;41
Citrobacter braakii;41
Citrobacter braakii;41
Citrobacter braakii;41
Yersinia enterocolitica;42
Yersinia enterocolitica;42
Yersinia enterocolitica;42
Haemophilus influenzae;43
Haemophilus influenzae;43
Haemophilus influenzae;43
Bacillus cereus;44
Bacillus cereus;44
Bacillus cereus;44
Clostridium difficile;45
Clostridium difficile;45
Clostridium difficile;46
Clostridium difficile;46
Haemophilus influenzae;47
Haemophilus influenzae;47
Haemophilus influenzae;47
Haemophilus influenzae;47
Haemophilus parainfluenzae;48
Haemophilus parainfluenzae;48
Haemophilus influenzae;49
Haemophilus influenzae;49
Haemophilus influenzae;49
